ecommerce-loki  | level=error ts=2026-03-13T16:31:43.4972989Z caller=loki.go:615 msg="module failed" module=compactor error="failed to start compactor, because it depends on module ring, which has failed: invalid service state: Failed, expected: Running, failure: starting module ring: invalid service state: Failed, expected: Running, failure: unable to initialise ring state: Get \"http://localhost:8500/v1/kv/collectors/ring?stale=\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.497337879Z caller=loki.go:615 msg="module failed" module=analytics error="failed to start analytics, because it depends on module ring, which has failed: invalid service state: Failed, expected: Running, failure: starting module ring: invalid service state: Failed, expected: Running, failure: unable to initialise ring state: Get \"http://localhost:8500/v1/kv/collectors/ring?stale=\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.497402929Z caller=loki.go:615 msg="module failed" module=ingester-querier error="failed to start ingester-querier, because it depends on module ring, which has failed: invalid service state: Failed, expected: Running, failure: starting module ring: invalid service state: Failed, expected: Running, failure: unable to initialise ring state: Get \"http://localhost:8500/v1/kv/collectors/ring?stale=\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.497420582Z caller=loki.go:615 msg="module failed" module=ruler error="failed to start ruler, because it depends on module ring, which has failed: invalid service state: Failed, expected: Running, failure: starting module ring: invalid service state: Failed, expected: Running, failure: unable to initialise ring state: Get \"http://localhost:8500/v1/kv/collectors/ring?stale=\": dial tcp [::1]:8500: connect: connection refused"
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.497432833Z caller=loki.go:615 msg="module failed" module=querier error="failed to start querier, because it depends on module query-scheduler-ring, which has failed: context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.497443612Z caller=loki.go:615 msg="module failed" module=ingester error="failed to start ingester, because it depends on module analytics, which has failed: context canceled"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.497456877Z caller=module_service.go:120 msg="module stopped" module=query-frontend-tripperware
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.497461362Z caller=loki.go:615 msg="module failed" module=query-frontend error="failed to start query-frontend, because it depends on module analytics, which has failed: context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.49747276Z caller=loki.go:615 msg="module failed" module=query-scheduler error="failed to start query-scheduler, because it depends on module analytics, which has failed: context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.497482968Z caller=loki.go:615 msg="module failed" module=rule-evaluator error="failed to start rule-evaluator, because it depends on module analytics, which has failed: context canceled"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.497573408Z caller=table_manager.go:116 index-store=boltdb-shipper-2024-01-01 msg="stopping table manager"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.497599853Z caller=module_service.go:120 msg="module stopped" module=cache-generation-loader
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.497608478Z caller=table_manager.go:187 index-store=boltdb-shipper-2024-01-01 msg="handing over indexes to shipper"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.497697604Z caller=table.go:318 msg="handing over indexes to shipper index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.497705518Z caller=table.go:334 msg="finished handing over table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.497726487Z caller=table_manager.go:77 index-store=boltdb-shipper-2024-01-01 msg="stopping table manager"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.497809366Z caller=table_manager.go:136 index-store=boltdb-shipper-2024-01-01 msg="uploading tables"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.497823393Z caller=index_set.go:86 msg="uploading table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.519081834Z caller=index_set.go:107 msg="finished uploading table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.519123893Z caller=index_set.go:186 msg="cleaning up unwanted indexes from table index_20525"
ecommerce-loki  | level=info ts=2026-03-13T16:31:43.519388168Z caller=module_service.go:120 msg="module stopped" module=store
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.716840076Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:43.936572099Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:44.155904271Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:44.376416831Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:44.596074976Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:44.816152723Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
ecommerce-loki  | level=error ts=2026-03-13T16:31:45.035459903Z caller=client.go:157 msg="error getting key" key=collectors/scheduler err="Get \"http://localhost:8500/v1/kv/collectors/scheduler\": context canceled"
